"filename", "language", "JavaScript", "Less", "HTML", "JSON", "Markdown", "TypeScript", "Handlebars", "Properties", "Log", "SQL", "Pug", "comment", "blank", "total"
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 24/config/firestoreConfig.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 24/desafioClase24.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 103
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 24/persistance.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 35
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 24/public/client.socket.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 75
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 24/public/views/fakeProds.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 24/public/views/inputForm.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 25
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 24/public/views/layouts/main.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 13
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 24/public/views/login.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 24/public/views/logout.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 24/routes/router1.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 47
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/config/firestoreConfig.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/desafioClase26.js", "JavaScript", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 125
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/lib/pasport.lib.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 52
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/models/user.model.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/persistance.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 35
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/public/client.socket.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 75
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/public/views/fakeProds.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/public/views/inputForm.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 25
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/public/views/layouts/main.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 13
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/public/views/login.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/public/views/loginError.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/public/views/logout.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/public/views/register.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/public/views/registerError.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/routes/router1.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 71
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/child.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/config/firestoreConfig.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/desafioClase28.js", "JavaScript", 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 145
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/lib/pasport.lib.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 52
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/models/user.model.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/persistance.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 35
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/public/client.socket.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 75
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/public/views/fakeProds.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/public/views/info.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/public/views/inputForm.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 25
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/public/views/layouts/main.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 13
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/public/views/login.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/public/views/loginError.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/public/views/logout.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/public/views/register.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/public/views/registerError.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/routes/router1.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 82
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/routes/routerChild.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/config/firestoreConfig.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/desafioClase30.js", "JavaScript", 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 173
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/lib/pasport.lib.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 52
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/models/user.model.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/nginx.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 2, 15, 56
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/persistance.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 35
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/public/client.socket.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 75
